Product_ID,Product_Name,Category,Brand,Placement_Location,Placement_Type,Scene_Duration_Sec,Visibility_Score,Sales_Before,Sales_After,Revenue_Before,Revenue_After,Consumer_Age_Group,Consumer_Gender,Consumer_Income_Level,Media_Type,Episode_Movie,Air_Date,Region,Store_Location,Traffic_Score,Conversion_Rate_Before,Conversion_Rate_After
P001,Smartphone X,Electronics,TechBrand,Center Screen,Visual,45,9.2,1200,1850,48000,74000,25-34,Male,High,TV Show,Episode 5,2023-01-15,North America,Online,8.5,2.3,4.1
P002,Energy Drink,Beverages,PowerFuel,Background,Visual,12,4.5,3500,3800,10500,11400,18-24,Male,Medium,Movie,Action Movie A,2023-02-20,Europe,Store Aisle 3,7.2,3.5,3.8
P003,Luxury Watch,Accessories,TimeMaster,Close-up,Visual,30,9.8,450,720,135000,216000,35-44,Male,High,TV Show,Episode 12,2023-03-10,Asia,Store Front,9.1,1.8,3.2
P004,Sports Shoes,Footwear,RunFast,Action Scene,Visual,25,8.1,2800,4200,112000,168000,18-24,Female,Medium,Movie,Sports Drama,2023-01-25,North America,Store Display,8.8,2.9,4.5
P005,Laptop Pro,Electronics,TechBrand,Desk Scene,Visual,60,7.5,980,1450,98000,145000,25-34,Female,High,TV Show,Episode 8,2023-04-05,Europe,Online,7.9,2.1,3.6
P006,Soft Drink,Beverages,FizzCo,Hand Held,Visual,18,8.9,5200,6800,15600,20400,18-24,Male,Low,Movie,Comedy Film,2023-02-14,Asia,Store Cooler,8.3,4.2,5.6
P007,Designer Bag,Accessories,LuxStyle,Shoulder Carry,Visual,40,9.5,320,580,96000,174000,35-44,Female,High,TV Show,Episode 3,2023-05-12,North America,Store Window,9.4,1.5,2.9
P008,Gaming Console,Electronics,GameTech,Living Room,Visual,35,6.8,1500,2100,450000,630000,18-24,Male,Medium,Movie,Sci-Fi Thriller,2023-03-22,Europe,Store Electronics,7.5,1.9,2.8
P009,Protein Bar,Food,FitNutrition,Gym Scene,Visual,15,7.2,4100,5300,12300,15900,25-34,Female,Medium,TV Show,Episode 15,2023-06-08,Asia,Store Checkout,8.1,3.8,4.9
P010,Sunglasses,Accessories,SunShield,Outdoor Scene,Visual,28,9.1,1800,2650,54000,79500,25-34,Male,Medium,Movie,Adventure Film,2023-04-18,North America,Store Display,8.7,2.6,3.9
P011,Coffee Brand,Beverages,BrewMaster,Coffee Shop,Visual,22,8.4,6200,7900,18600,23700,35-44,Female,High,TV Show,Episode 7,2023-07-03,Europe,Store Shelf,8.2,4.5,5.8
P012,Tablet Device,Electronics,TechBrand,Reading Scene,Visual,50,7.9,1100,1680,55000,84000,45-54,Female,High,Movie,Drama Film,2023-05-25,Asia,Online,7.6,2.2,3.4
P013,Running Shoes,Footwear,SprintPro,Marathon Scene,Visual,32,9.3,3200,5100,128000,204000,18-24,Male,Medium,TV Show,Episode 20,2023-08-14,North America,Store Front,9.2,3.1,5.2
P014,Energy Bar,Food,PowerSnack,Hiking Scene,Visual,14,6.9,3800,4500,11400,13500,25-34,Male,Medium,Movie,Outdoor Adventure,2023-06-30,Europe,Store Aisle 5,7.4,3.6,4.3
P015,Perfume,Beauty,ScentLux,Romantic Scene,Visual,20,9.6,890,1420,44500,71000,35-44,Female,High,TV Show,Episode 10,2023-09-05,Asia,Store Cosmetics,9.3,1.7,3.1
